id,title,year,slug,runtime_min,sktorrent_video_id,sktorrent_cdn,sktorrent_qualities,has_dub,has_subtitles,csfd_rating,imdb_rating,priority_score,imdb_id,csfd_id,detail_url,prehrajto_verdict,prehrajto_candidates,prehrajto_best_url,prehrajto_best_title,prehrajto_search_url
8470,Rodiče versus influenceři,2021,rodice-versus-influenceri,,22371,9,"720p,480p",t,f,62,5.3,11.50,tt13051800,1010342,https://ceskarepublika.wiki/filmy-online/rodice-versus-influenceri/,MAYBE,2,https://prehraj.to/rodice-versus-influenceri-2021-sk-dab/6674f5acc1d66,Rodiče versus influenceři 2021 SK dab,https://prehraj.to/hledej/Rodi%C4%8De%20versus%20influence%C5%99i
8226,Divorce Club,2020,divorce-club,,18180,8,"720p,480p",t,f,61,5.4,11.50,tt9303772,823167,https://ceskarepublika.wiki/filmy-online/divorce-club/,FOUND,5,https://prehraj.to/divorce-club-2020-sk/60d5eb162abfd,Divorce Club 2020 SK,https://prehraj.to/hledej/Divorce%20Club
6198,교섭,2023,gyoseob,,32375,20,"720p,480p",f,t,55,6,11.50,tt21111120,398044,https://ceskarepublika.wiki/filmy-online/gyoseob/,NONE,0,,,https://prehraj.to/hledej/%EA%B5%90%EC%84%AD
7809,Sympatie k ďáblu,2023,sympatie-k-dablu,,43222,7,"720p,480p",t,t,60,5.5,11.50,tt21991654,35190,https://ceskarepublika.wiki/filmy-online/sympatie-k-dablu/,FOUND,25,https://prehraj.to/sympatie-k-dablu-sympathy-for-the-devil-2023-2160p-hdr-cz-en-bydejv/6794d4d8c8a2a,Sympatie k ďáblu - Sympathy for the Devil (2023) 2160p HDR CZ EN byDejv,https://prehraj.to/hledej/Sympatie%20k%20%C4%8F%C3%A1blu
8073,"Všude dobře, doma peklo",2015,vsude-dobre-doma-peklo,,784,24,"480p,240p",t,f,60,5.5,11.50,tt2802136,128995,https://ceskarepublika.wiki/filmy-online/vsude-dobre-doma-peklo/,FOUND,25,https://prehraj.to/vsude-dobre-doma-peklo-2015-cz-dabing/686d6350ced35,"Vsude dobre, doma peklo-2015-CZ Dabing",https://prehraj.to/hledej/V%C5%A1ude%20dob%C5%99e%2C%20doma%20peklo
9121,Tokarev,2014,tokarev,,18573,8,"480p,240p",t,f,65,5,11.50,tt2401807,61705,https://ceskarepublika.wiki/filmy-online/tokarev/,FOUND,30,https://prehraj.to/tokarev-2014-cz-dabing/59ab51bf67d2f,Tokarev (2014) CZ Dabing,https://prehraj.to/hledej/Tokarev
7489,Manželé Stodolovi,2023,manzele-stodolovi,,37394,10,"720p,480p",t,f,59,5.6,11.50,tt30061392,914031,https://ceskarepublika.wiki/filmy-online/manzele-stodolovi/,NONE,0,,,https://prehraj.to/hledej/Man%C5%BEel%C3%A9%20Stodolovi
7501,Kukačky,2023,kukacky,,45094,11,"720p,480p",f,t,59,5.6,11.50,tt12748562,1325284,https://ceskarepublika.wiki/filmy-online/kukacky/,FOUND,32,https://prehraj.to/kukacky-s02e02-1080p/63d53da93625f,Kukacky.S02E02.1080p,https://prehraj.to/hledej/Kuka%C4%8Dky
5856,Black Adam,2022,black-adam,,26670,15,"720p,480p",t,t,54,6.1,11.50,tt6443346,792486,https://ceskarepublika.wiki/filmy-online/black-adam/,NONE,0,,,https://prehraj.to/hledej/Black%20Adam
7628,Rychlý jako vítr 4,2019,rychly-jako-vitr-4,,32288,24,"480p,240p",t,f,59,5.6,11.50,tt9182284,673280,https://ceskarepublika.wiki/filmy-online/rychly-jako-vitr-4/,FOUND,4,https://prehraj.to/rychly-jako-vitr-4-cz/5eb6a97bd0407,Rychlý jako vítr 4-cz,https://prehraj.to/hledej/Rychl%C3%BD%20jako%20v%C3%ADtr%204
7748,Špionáž,2013,spionaz,,35731,3,"720p,480p",t,f,59,5.6,11.50,tt1413495,319939,https://ceskarepublika.wiki/filmy-online/spionaz/,FOUND,32,https://prehraj.to/spionaz-2013-cz-dab/558bd2364b5ef,Špionáž 2013 Cz dab.,https://prehraj.to/hledej/%C5%A0pion%C3%A1%C5%BE
7454,Critters 2,1988,critters-2,,18683,11,"480p,240p",t,f,59,5.6,11.50,tt0094919,3279,https://ceskarepublika.wiki/filmy-online/critters-2/,FOUND,6,https://prehraj.to/critters-2-1988-1080p-cz/650cc9dd27407,Critters 2 ( 1988 ) ( 1080p ) CZ,https://prehraj.to/hledej/Critters%202
8628,"Šmik, šmik",2025,smik-smik,,49062,,,t,f,63,5.2,11.50,tt8785038,1204362,https://ceskarepublika.wiki/filmy-online/smik-smik/,FOUND,12,https://prehraj.to/smik-smik-2025-novinka-cz-dabing-full-hd-1080p-pucci-film-mp4/7bccf7d04aa477e2,Šmik šmik (2025) novinka CZ dabing Full HD 1080p Pucci film.mp4,https://prehraj.to/hledej/%C5%A0mik%2C%20%C5%A1mik
5609,Ulička slávy,2016,ulicka-slavy,,27784,13,"720p,480p",t,f,53,6.2,11.50,tt2513074,413147,https://ceskarepublika.wiki/filmy-online/ulicka-slavy/,NONE,0,,,https://prehraj.to/hledej/Uli%C4%8Dka%20sl%C3%A1vy
8810,Unfriend,2016,unfriend,,1169,20,"480p,240p",f,t,63,5.2,11.50,tt3352390,62222,https://ceskarepublika.wiki/filmy-online/unfriend/,FOUND,21,https://prehraj.to/unfriend-friend-request-2016-cz-titulky-vlozene/59c51dba5a5b6,Unfriend - Friend Request (2016) CZ Titulky Vložené,https://prehraj.to/hledej/Unfriend
7394,Nemilosrdní,2015,nemilosrdni,,3188,24,"480p,240p",t,f,58,5.7,11.50,tt4232610,397962,https://ceskarepublika.wiki/filmy-online/nemilosrdni/,FOUND,18,https://prehraj.to/nemilosrdni-2015-1080p-cz-sk-dab/6109156087b02,"Nemilosrdní (2015) 1080p cz,sk dab",https://prehraj.to/hledej/Nemilosrdn%C3%AD
7411,Sabotáž,2014,sabotaz,,2136,9,"480p,360p",t,f,58,5.7,11.50,tt1742334,285618,https://ceskarepublika.wiki/filmy-online/sabotaz/,FOUND,32,https://prehraj.to/sabotaz-2014-czdabing/5eabbde66e90b,Sabotaž 2014 CZdabing,https://prehraj.to/hledej/Sabot%C3%A1%C5%BE
8832,Green Street 3: Rváči nikdy nezlomení,2013,green-street-3-rvaci-nikdy-nezlomeni,,5034,2,"720p,480p,360p",t,f,63,5.2,11.50,tt2628316,55415,https://ceskarepublika.wiki/filmy-online/green-street-3-rvaci-nikdy-nezlomeni/,MAYBE,1,https://prehraj.to/green-street-3-rvaci-nikdy-nezlomeni-akcni-2013-cz-dabing/604fd8d978287,Green-Street-3-Rváči nikdy nezlomení-(akcni)-(2013)--cz-dabing,https://prehraj.to/hledej/Green%20Street%203
